Address,Price,Beds,Baths,Sqft
"1740 N Maplewood Ave APT 104, Chicago, IL 60647Sold",345000,2,2,"1,200"
"1704 N Troy St, Chicago, IL 60647Sold",532500,4,4,"2,400"
"1809 N Kedzie Ave # 2, Chicago, IL 60647Sold",505500,3,3,"2,139"
"1740 N Maplewood Ave APT 318, Chicago, IL 60647Sold",398000,2,2,"1,400"
"1814 N Kedzie Ave, Chicago, IL 60647Sold",615500,3,2,"1,700"
"1916 N Sawyer Ave, Chicago, IL 60647Sold",370000,6,2,"1,647"
"1809 N Kedzie Ave # 2, Chicago, IL 60647Sold",505016,3,3,"2,139"
"2041 N Sawyer Ave, Chicago, IL 60647Sold",809000,5,3,"1,200"
"1740 N Maplewood Ave APT 318, Chicago, IL 60647Sold",398000,2,2,"1,300"
"1803 N Fairfield Ave, Chicago, IL 60647Sold",538000,3,4,"3,100"
"1811 N Rockwell St, Chicago, IL 60647Sold",495000,3,3,"2,250"
"1923 N Mozart St, Chicago, IL 60647Sold",519000,6,4,"2,200"
"1811 N Rockwell St UNIT G, Chicago, IL 60647Sold",495000,3,2.5,"1,454"
"3053 Armitage Ave #C, Chicago, IL 60647Sold",249000,1,1,"1,000"
"3123 W Cortland St, Chicago, IL 60647Sold",250000,4,1,"1,200"
"3021 W Armitage Ave APT 408, Chicago, IL 60647Sold",275000,2,1,959
"2021 N Mozart St # 3, Chicago, IL 60647Sold",395000,2,2,"1,200"
"2045 N Kedzie Ave APT C3, Chicago, IL 60647Sold",397000,2,2,"1,180"
"2527 W Homer, Chicago, IL 60647Sold",707440,3,4,"2,270"
"3221 W Cortland St # 3, Chicago, IL 60647Sold",263750,2,1,900
"1811 Rockwell #1, Chicago, IL 60647Sold",495000,3,3,"1,200"
"1807 N Talman Ave, Chicago, IL 60647Sold",745000,5,4,"3,500"
"1915 N Fairfield Ave # 2, Chicago, IL 60647Sold",295000,3,2,"1,157"
"1740 N Maplewood Ave APT 407, Chicago, IL 60647Sold",405000,2,2,"1,150"
"1856 N Sawyer Ave # 302, Chicago, IL 60647Sold",295000,2,2,"1,250"
"1856 N Sawyer Ave APT 104, Chicago, IL 60647Sold",199500,2,1,"1,000"
